elapsed_time,sender,receiver,length
53.76487803459168,172.17.0.1,172.19.0.9,66
53.96652817726135,172.19.0.1,172.19.0.9,74
53.967989444732666,172.19.0.9,172.19.0.1,74
53.96932363510132,172.19.0.1,172.19.0.9,66
53.97074699401856,172.19.0.1,172.19.0.9,306
53.9720458984375,172.19.0.9,172.19.0.1,66
53.97476768493652,172.19.0.1,172.19.0.9,347
53.97608041763306,172.19.0.9,172.19.0.1,66
53.9774374961853,172.19.0.9,172.19.0.2,74
53.978363275527954,172.19.0.2,172.19.0.9,74
53.97906827926636,172.19.0.9,172.19.0.2,66
53.980008125305176,172.19.0.9,172.19.0.2,224
53.980737447738655,172.19.0.2,172.19.0.9,66
53.98452830314636,172.19.0.2,172.19.0.9,2009
53.985313415527344,172.19.0.9,172.19.0.2,66
53.9860577583313,172.19.0.9,172.19.0.2,66
53.98679041862488,172.19.0.2,172.19.0.9,66
53.98755860328674,172.19.0.9,172.19.0.2,66
53.98830485343933,172.19.0.9,172.19.0.7,74
53.98904371261597,172.19.0.7,172.19.0.9,74
53.98978471755981,172.19.0.9,172.19.0.7,66
53.9905366897583,172.19.0.9,172.19.0.7,310
53.99123954772949,172.19.0.7,172.19.0.9,66
53.9926221370697,172.19.0.9,172.19.0.7,318
53.99334359169006,172.19.0.7,172.19.0.9,66
53.994372606277466,172.19.0.7,172.19.0.9,320
53.995078563690186,172.19.0.9,172.19.0.7,66
53.99592590332031,172.19.0.7,172.19.0.4,264
53.99682331085205,172.19.0.4,172.19.0.1,264
53.99753665924072,172.19.0.1,172.19.0.4,66
53.99828410148621,172.19.0.4,172.19.0.7,70
53.99900484085083,172.19.0.7,172.19.0.4,66
53.99978089332581,172.19.0.9,172.19.0.7,66
54.00052261352539,172.19.0.7,172.19.0.9,66
54.00119638442993,172.19.0.9,172.19.0.7,66
54.0021436214447,172.19.0.1,172.19.0.4,268
54.00288271903992,172.19.0.9,172.19.0.1,197
54.00390696525574,172.19.0.1,172.19.0.9,66
54.00497603416443,172.19.0.9,172.19.0.1,137
54.00569081306457,172.19.0.1,172.19.0.9,66
54.006561517715454,172.19.0.4,172.19.0.7,262
54.0073299407959,172.19.0.7,172.19.0.4,66
54.00810551643372,172.19.0.4,172.19.0.1,70
54.008817195892334,172.19.0.1,172.19.0.9,66
54.0095956325531,172.19.0.9,172.19.0.1,66
54.01034545898438,172.19.0.1,172.19.0.9,66
54.01110553741455,172.19.0.7,172.19.0.9,74
54.01185321807861,172.19.0.9,172.19.0.7,74
54.012609004974365,172.19.0.7,172.19.0.9,66
54.0133740901947,172.19.0.7,172.19.0.9,297
54.014068603515625,172.19.0.9,172.19.0.7,66
54.01544833183289,172.19.0.7,172.19.0.9,312
54.01616096496582,172.19.0.9,172.19.0.7,66
54.0168833732605,172.19.0.9,172.17.0.1,74
54.01770544052124,172.17.0.1,172.19.0.9,74
54.01996350288391,172.19.0.9,172.17.0.1,66
54.02073407173157,172.19.0.9,172.17.0.1,304
54.0214569568634,172.17.0.1,172.19.0.9,66
54.02283906936646,172.19.0.9,172.17.0.1,312
54.02356767654419,172.17.0.1,172.19.0.9,66
54.02432107925415,172.19.0.1,172.19.0.4,66
54.02506065368652,172.17.0.1,172.19.0.9,195
54.0257670879364,172.19.0.9,172.17.0.1,66
54.02678418159485,172.17.0.1,172.19.0.9,70
54.02749609947205,172.19.0.9,172.17.0.1,66
54.02820730209351,172.17.0.1,172.19.0.9,195
54.02891516685486,172.19.0.9,172.17.0.1,66
54.02987265586853,172.17.0.1,172.19.0.9,70
54.03061199188232,172.19.0.9,172.17.0.1,66
54.03133630752563,172.19.0.9,172.17.0.1,66
54.03214406967163,172.17.0.1,172.19.0.9,66
54.03284287452698,172.19.0.9,172.17.0.1,66
54.03355956077576,172.19.0.9,172.19.0.7,195
54.03432154655457,172.19.0.7,172.19.0.9,66
54.035255193710334,172.19.0.9,172.19.0.7,70
54.03595972061157,172.19.0.7,172.19.0.9,66
54.03681254386902,172.19.0.9,172.17.0.1,66
54.037747859954834,172.17.0.1,172.19.0.9,66
54.03896117210388,172.19.0.9,172.17.0.1,66
54.04028582572937,172.19.0.7,172.19.0.9,66
54.04169106483459,172.19.0.9,172.19.0.7,195
54.04296898841858,172.19.0.7,172.19.0.9,66
54.04465222358704,172.19.0.9,172.19.0.7,70
54.04600358009338,172.19.0.7,172.19.0.9,66
54.04692721366882,172.19.0.9,172.19.0.7,66
54.04765200614929,172.19.0.7,172.19.0.9,66
54.04835963249206,172.19.0.7,172.19.0.9,66
54.04916191101074,172.19.0.9,172.19.0.7,66
54.04987907409668,172.19.0.7,172.19.0.9,66
54.22418403625488,172.19.0.3,172.19.0.8,71
54.22741937637329,172.19.0.8,172.19.0.3,279
54.228158473968506,172.19.0.3,172.19.0.8,66
54.22980761528015,172.19.0.1,172.19.0.4,3437
54.2305281162262,172.19.0.4,172.19.0.1,66
54.23220276832581,172.19.0.4,172.19.0.7,3437
54.23294162750244,172.19.0.7,172.19.0.4,66
54.233699083328254,172.19.0.7,172.19.0.9,74
54.234459400177,172.19.0.9,172.19.0.7,74
54.23516368865967,172.19.0.7,172.19.0.9,66
54.23595380783081,172.19.0.7,172.19.0.9,282
54.23667073249817,172.19.0.9,172.19.0.7,66
54.24369335174561,172.19.0.7,172.19.0.9,3527
