Timestamp(ms),Current(uA),D0-D7
38990.3,43535.695,00000000
38990.4,43529.605,00000000
38990.5,43527.059,00000000
38990.6,43561.871,00000000
38990.7,43585.332,00000000
38990.8,43644.719,00000000
38990.9,43648.633,00000000
38991,43651.395,00000000
38991.1,43653.848,00000000
38991.2,43613.191,00000000
38991.3,43701.785,00000000
38991.4,43667.207,00000000
38991.5,43694.543,00000000
38991.6,43651.418,00000000
38991.7,43700.801,00000000
38991.8,43698.285,00000000
38991.9,43680.801,00000000
38992,43754.820,00000000
38992.1,43702.668,00000000
38992.2,43777.547,00000000
38992.3,43772.438,00000000
38992.4,43808.117,00000000
38992.5,43867.133,00000000
38992.6,43839.457,00000000
38992.7,43851.777,00000000
38992.8,43889.953,00000000
38992.9,43896.617,00000000
38993,43895.273,00000000
38993.1,43842.656,00000000
38993.2,43905.352,00000000
38993.3,43892.328,00000000
38993.4,43941.508,00000000
38993.5,43903.301,00000000
38993.6,43913.836,00000000
38993.7,43891.129,00000000
38993.8,45887.246,00000000
38993.9,44455.059,00000000
38994,44082.641,00000000
38994.1,44014.773,00000000
38994.2,44016.992,00000000
38994.3,43990.164,00000000
38994.4,43981.988,00000000
38994.5,44033.441,00000000
38994.6,43984.727,00000000
38994.7,43986.434,00000000
38994.8,43964.125,00000000
38994.9,43988.703,00000000
38995,43968.781,00000000
38995.1,44024.289,00000000
38995.2,43974.379,00000000
38995.3,43975.488,00000000
38995.4,43999.637,00000000
38995.5,44004.984,00000000
38995.6,43903.871,00000000
38995.7,43991.398,00000000
38995.8,43975.074,00000000
38995.9,43956.965,00000000
38996,43982.988,00000000
38996.1,43979.836,00000000
38996.2,43961.250,00000000
38996.3,43986.445,00000000
38996.4,43989.543,00000000
38996.5,43964.789,00000000
38996.6,43913.648,00000000
38996.7,43928.395,00000000
38996.8,43888.270,00000000
38996.9,43943.863,00000000
38997,43885.141,00000000
38997.1,43848.219,00000000
38997.2,43822.520,00000000
38997.3,43804.207,00000000
38997.4,43783.863,00000000
38997.5,43740.238,00000000
38997.6,43694.906,00000000
38997.7,43778.121,00000000
38997.8,43720.340,00000000
38997.9,43691.891,00000000
38998,43741.313,00000000
38998.1,43702.934,00000000
38998.2,43670.598,00000000
38998.3,43654.625,00000000
38998.4,43608.559,00000000
38998.5,43531.668,00000000
38998.6,43533.398,00000000
38998.7,43571.184,00000000
38998.8,43519.996,00000000
38998.9,43531.199,00000000
38999,43444.004,00000000
38999.1,43457.867,00000000
38999.2,43435.773,00000000
38999.3,43381.254,00000000
38999.4,45000.113,00000000
38999.5,44053.359,00000000
38999.6,43618.426,00000000
38999.7,43476.883,00000000
38999.8,43383.680,00000000
38999.9,43347.383,00000000
39000,43291.543,00000000
39000.1,43319.785,00000000
39000.2,43318.320,00000000
39000.3,43323.715,00000000
39000.4,43266.699,00000000
39000.5,43315.145,00000000
39000.6,43307.168,00000000
39000.7,43274.602,00000000
39000.8,43218.352,00000000
39000.9,43257.750,00000000
39001,43281.641,00000000
39001.1,43252.938,00000000
39001.2,43255.129,00000000
39001.3,43239.117,00000000
39001.4,43245.477,00000000
39001.5,43232.891,00000000
39001.6,43269.301,00000000
39001.7,43235.285,00000000
39001.8,43218.750,00000000
39001.9,43187.551,00000000
39002,43270.004,00000000
39002.1,43289.543,00000000
39002.2,43273.352,00000000
39002.3,43210.691,00000000
39002.4,43296.688,00000000
39002.5,43313.930,00000000
39002.6,43250.965,00000000
39002.7,43229.750,00000000
39002.8,43222.691,00000000
39002.9,43265.141,00000000
39003,43285.074,00000000
39003.1,43255.934,00000000
39003.2,43269.816,00000000
39003.3,43287.430,00000000
39003.4,43219.316,00000000
39003.5,43231.730,00000000
39003.6,43202.129,00000000
